"ISBN";"Book-Title";"Book-Author";"Year-Of-Publication";"Publisher"
"0373098855";"Vow To Love (Vows) (Silhouette Special Edition, No 885)";"Janet Woods";"1994";"Silhouette"
"0373076223";"Irresistible Man (Silhouette Intimate Moments, No 622)";"Kylie Brant";"1995";"Silhouette"
"0373821514";"Mother Knows Best";"Barbara Bretton";"1999";"Harlequin Books"
"0373288093";"Honeyed Lies.. (Harlequin Historical, No 209)";"Claire Delacroix";"1994";"Harlequin"
"155166531X";"Tiger Prince";"Sandra Brown";"1999";"Mira"
"0373240899";"Wrong Man ... The Right Time (Silhouette Special Edition, No 1089)";"Carole Halston";"1997";"Silhouette"
"0380815346";"No Marriage of Convenience (Avon Romantic Treasure)";"Elizabeth Boyle";"2000";"Avon"
"037321703X";"Big Bad Wolfe: At The Altar! (By Request 2'S) (By Request 2's)";"Joan Hohl";"2000";"Silhouette"
"0446360732";"A Treasure Worth Seeking";"Sandra Brown";"1992";"Warner Books"
"0373093829";"In The Name Of Love (Silhouette Special Edition, No. 382)";"Paula Hamilton";"1987";"Silhouette"
"0373096828";"Yours, Mine And ...Ours (Silhouette Special Edition, No 682)";"Carole Halston";"1991";"Silhouette"
"0373099150";"Bachelor Dad (Silhouette Special Edition, No 915)";"Carole Halston";"1994";"Silhouette"
"0821718398";"Defiant Mistress";"Elaine Barbieri";"1986";"Kensington Pub Corp (Mm)"
"0843946466";"Hawk";"Elaine Barbieri";"1999";"Leisure Books"
"0373168721";"Have Baby, Need Beau (The Hartwell Hope Chests) (Harlequin American Romance, No 872)";"Rita Herron";"2001";"Harlequin"
"0373164386";"Father Knows Best (Harlequin American Romance, No. 438)";"Bettany Hughes";"1992";"Harlequin"
"0373451903";"Last Frontier (Men: Made In America) (Men Made in America)";"Patricia Coughlin";"1995";"Silhouette"
"0373169035";"Her Passionate Pirate (Harlequin American Romance, No. 903)";"Neesa Hart";"2001";"Harlequin"
"0743436466";"The Nanotech War (Star Trek Voyager)";"Steven Piziks";"2002";"Star Trek"
"067178577X";"Thin Air (Star Trek: New Earth, Book 5)";"Kristine Kathryn Rusch";"2000";"Star Trek"
"0373168411";"The Bride Said, Finally! (Harlequin American Romance, No. 841)";"Cathy Gillen Thacker";"2000";"Harlequin"
"0553567683";"Adam's Fall";"Sandra Brown";"1994";"Bantam Books"
"0446603090";"Bittersweet Rain";"Sandra Brown";"2000";"Warner Books"
"0373099894";"This Child Is Mine (Silhouette Special Edition, No 989)";"Jim Alexander";"1995";"Silhouette"
"0380774542";"The Lady and the Outlaw";"Katherine Compton";"1994";"Harper Mass Market Paperbacks (Mm)"
"0061083402";"The Bandit's Lady (Harper Monogram)";"Maureen Child";"1995";"Harper Mass Market Paperbacks (Mm)"
"0373451555";"Deceptions (Men Made In America Series) #5 (Men Made in America, No 5)";"Annette Broadrick";"1993";"Silhouette"
"0373077289";"Leader Of The Pack (Trinity Street West) (Silhouette Intimate Moments, No 728)";"Nancy Davis";"1996";"Silhouette"
"0373168683";"Montana Mail - Order Wife (Identity Swap) (Harlequin American Romance, No 868)";"Charlotte Douglas";"2001";"Harlequin"
"0373169493";"Their Instant Baby: The Deveraux Legacy (Harlequin American Romance, No 949)";"Cathy Gillen Thacker";"2002";"Harlequin"
"0373451806";"Moments Harsh, Moments Gentle (Men: Made In America) (Men Made in America, No 30)";"Joan Hohl";"1994";"Silhouette"
"0373168748";"Cowboy With A Secret (Harlequin American Romance, No 874)";"Pamela Browning";"2001";"Harlequin"
"0373225202";"Secret Lover (Harlequin Intrigue, No. 520)";"Shawna Delacorte";"1999";"Harlequin"
"0373168527";"The Marriage Portrait (Harlequin American Romance, No 852)";"Pamela Bauer";"2000";"Harlequin"
"0373705247";"String Of Miracles (Harlequin Superromance, No 524)";"Sally Garrett";"1992";"Harlequin"
"0373118775";"Final Proposal  (The Marriage Maker) (Harlequin Presents, No 1877)";"Robyn Donald";"1997";"Harlequin"
"0373168632";"The Pregnant Ms. Potter (Harlequin American Romance, No 863)";"Millie Criswell";"2001";"Harlequin"
"0373169779";"Frisco Joe's Fiancee: Cowboys by the Dozen! (Harlequin American Romance, No 977)";"Tina Leonard";"2003";"Harlequin"
"055329783X";"A Whole New Light";"SANDRA BROWN";"1992";"Bantam"
"0373169760";"Inherited: One Baby! (Harlequin American Romance, No 976)";"Laura Marie Altom";"2003";"Harlequin"
"0373166958";"Quick Find A Ring  (Three Weddings & A Hurricane) (Harlequin American Romance, No 695)";"Jo Leigh";"1997";"Harlequin"
"0671835645";"TANYA";"Muriel Bradley";"1980";"Simon & Schuster"
"0373168675";"Rent A Millionaire Groom (2001 Ways To Wed) (Harlequin American Romance, No 867)";"Judy Christenberry";"2001";"Harlequin"
"0373451547";"Another Kind Of Love (Men Made In America Series) #4 (Men Made in America, No 4)";"Mary Lynn Baxter";"1993";"Silhouette"
"0373169620";"Diagnosis: Expecting Boss's Baby: The Babies of Doctors Circle (Harlequin American Romance, No 962)";"Jacueline Diamond";"2003";"Harlequin"
"037316596X";"Counterfeit Husband (Harlequin American Romance, No 596)";"Linda Randall Wisdom";"1995";"Harlequin"
"0373169736";"Taking Over the Tycoon: The Deveraux Legacy (Harlequin American Romance, No 973)";"Cathy Gillen Thacker";"2003";"Harlequin"
"037316954X";"Commander's Little Surprise: Grooms in Uniform (Harlequin American Romance, No 954)";"Mollie Molay";"2003";"Harlequin"
"0373650396";"In The Arms Of A Hero (Fortunes Of Texas) (The Fortunes of Texas)";"Wayne Barton";"2000";"Silhouette"
"0441023142";"A Night in the Netherhells";"Craig Gardner";"1987";"Ace Books"
"0373257813";"Manhunting In Miami (Manhunting ...) (Temptation , No 681)";"Alyssa Dean";"1998";"Harlequin"
"0373201575";"Sons Of Texas:  Cowboys And Wedding Bells  (By Request) (By Request)";"Annette Broadrick";"1999";"Harlequin"
"0373030932";"Master Of Glen Crannach (Harlequin Romance, No 3093)";"Linda Howard";"1990";"Harlequin"
"0451180143";"A Regency Christmas: Five Stories (Regency Christmas)";"Mary Balogh";"1995";"Signet Book"
"0373160011";"Tomorrow's Promise (Harlequin American Romance, #1)";"Kenneth T. Brown";"1983";"Harlequin"
"0373898347";"Lord Of The High Lon";"Janet Dailey";"1987";"Harlequin"
"0373201427";"A Family Christmas";"Joan Hohl";"1997";"Harlequin"
"0373115113";"Dark Heritage (Harlequin Presents, No 1511)";"Emma Darcy";"1992";"Harlequin"
"037316968X";"High-Tide Bride (Harlequin American Romance, No 968)";"Dianne Castell";"2003";"Harlequin"
"0373169531";"Jackpot Baby: Millionaire, Montana (Harlequin American Romance, No 953)";"Muriel Jensen";"2003";"Harlequin"
"0373168705";"The Virgin Bride Said, \"Wow!\" (The Lockharts Of Texas) (Harlequin American Romance, No 870)";"Cathy Thacker";"2001";"Harlequin"
"0373169868";"Ranger's Wild Woman   Cowboys By The Dozen (Harlequin American Romance, 986)";"Tina Leonard";"2003";"Harlequin"
"0671519077";"INDIGO FIRE : INDIGO FIRE";"Krista Janssen";"1995";"Pocket"
"0373108400";"Fantasy (Harlequin Presents, No 840)";"Emma Darcy";"1985";"Harlequin"
"037316985X";"Cowboy Lessons (Harlequin American Romance, 985)";"Pamela Britton";"2003";"Harlequin"
"0373289871";"Knights Of Christmas (Harlequin Historicals, No 387)";"Suzanne Barclay";"1997";"Harlequin"
"1878702823";"Call back our yesterdays";"Phyllis Houseman";"1992";"Meteor Pub. Corp"
"0373099169";"Interrupted Marriage (Silhouette Special Edition, No 916)";"Laurey Bright";"1994";"Silhouette"
"0515087998";"Her Man of Affairs";"Elizabeth Mansfield";"1996";"Jove Books"
"0553220284";"Loveswept #366: A Whole New Light";"Sandra Brown";"1989";"Loveswept"
"0373253184";"Fulfillment (Harlequin Temptation)";"Barbara Delinsky";"1988";"Harlequin"
"0373169566";"Under Alaskan Skies (Harlequin American Romance, No 956)";"Carol Grace";"2003";"Harlequin"
"0373290012";"By King'S Decree (Harlequin Historical Romance, No 401)";"Shari Anton";"1998";"Harlequin"
"0671535706";"Beyond the Birds and the Bees";"Beverly Engel";"1997";"Pocket"
"0373290438";"Pride Of Lions (Harlequin Historical, No. 443)";"Suzanne Barclay";"1998";"Harlequin"
"0061093343";"Fault Lines";"Anne Rivers Siddons";"1996";"HarperTorch"
"0373706871";"Cupid Chronicles (The Camerons Of Colorado) (Harlequin Superromance, No 687)";"James Dale";"1996";"Harlequin"
"0373106734";"Caribbean Confusion";"Mary Lyons";"1984";"Harlequin"
"0373898339";"That Carolina Summer";"Janet Dailey";"1987";"Harlequin"
"0373169361";"The Rich Girl Goes Wild (Harlequin American Romance, No 936)";"Leah Vale";"2002";"Harlequin"
"0373169329";"Stranded at Cupid's Hideaway (Harlequin American Romance, No 932)";"Connie Lane";"2002";"Harlequin"
"0373169191";"The Blacksheep's Arranged Marriage (Billion-Dollar Braddocks) (Harlequin American Romance Series, No. 919)";"Karen Toller Whittenburg";"2002";"Harlequin"
"0821767720";"Valentine Rogues (Zebra Regency Romance)";"Cindy Holbrook";"2001";"Zebra Books"
"0373025920";"No Room In His Lif (Harlequin Romance)";"Nicola West";"1983";"Harlequin"
"0373072422";"More Than A Miracle (Silhouette Intimate Moments, No 242)";"Kathleen Eagle";"1988";"Silhouette"
"0440224454";"The Pink Flamingo Murders";"Elaine Viets";"1999";"Dell Publishing Company"
"0312956762";"Die Hard: With a Vengeance - A Novel";" D. Chiel";"1995";"St Martins Pr"
"0373288646";"Pearl Beyond Price (Harlequin Historical, No 264)";"Claire Delacroix";"1995";"Harlequin"
"0373076746";"Morning Side Of Dawn (Silhouette Intimate Moments, No 674)";"Justine Davis";"1995";"Silhouette"
"037370643X";"Every Move You Make (4 Strong Men) (Harlequin Superromance, No 643)";"Bobby Hutchinson";"1995";"Harlequin"
"0373241437";"Cop And The Cradle  (Switched At Birth) (Harlequin Special Edition, No 1143)";"Nancy Davis";"1997";"Silhouette"
"0373074808";"Diamond Willow (Silhouette Intimate Moments, No 480)";"Kathleen Eagle";"1993";"Silhouette"
"0373765053";"Billionaire Boss  (Matched in Montana)";"Meagan Mckinney";"2003";"Harlequin"
"0061042331";"Gemstone";"Barbara Delinsky";"1993";"HarperTorch"
"0373093918";"Some Warm Hunger (Silhouette Special Edition, No 391)";"Bay Matthews";"1987";"Silhouette"
"0786000139";"Across Forever";"Janice Bennett";"1994";"Pinnacle Books (Mm)"
"0373114931";"Dance For A Stranger (Harlequin Presents, No 1493)";"Susanne McCarthy";"1992";"Harlequin"
"0440211352";"Seduced";"Virginia Henley";"1994";"Dell Publishing Company"
"0425105156";"Accent on Desire (Second Chance at Love, No 420)";"Christa Merlin";"1987";"Berkley Publishing Group"
"0373074492";"Exile's End (Silhouette Intimate Moments, No 449)";"Rachel Lee";"1992";"Silhouette"
"0449223515";"Lady Whilton's Wedding";"Barbara Metzger";"1995";"Ivy Books"
"0886778212";"Mob Magic";"Brian Thomsen";"1998";"Daw Books"
"0373024665";"Dark Enigma (Harlequin Romance)";"Rebecca Stratton";"1982";"Harlequin Books"
"0373650159";"Nine Months  (36 Hours) (Harlequin 36 Hours, No 10)";"Wayne Barton";"1998";"Harlequin"
"0671775235";"The Valiant (Star Trek The Next Generation)";"Michael Jan Friedman";"2001";"Star Trek"
"0553279335";"Star Trek The New Voyages 2 (Star Trek)";"Sondra Marshak";"1988";"Spectra Books"
"0425058247";"A Memory of Lions";"Parke Godwin";"1983";"Berkley Pub Group"
"037329011X";"Lion'S Lady (The Sutherland Series) (Historical , No 411)";"Suzanne Barclay";"1998";"Harlequin"
"055322039X";"Gambling Lady";"Gail Douglas";"1989";"Bantam"
"0373704070";"Streets Of Fire (Superomance, No 407)";"Judith Duncan";"1990";"Harlequin"
"0373097840";"When Somebody Needs You (Silhouette Special Edition, No 784)";"Jim Alexander";"1992";"Silhouette"
"037319692X";"Most Eligible Doctor (Silhouette Romance, 1692)";"Karen Rose Smith";"2003";"Silhouette"
"0373241224";"Seven Reasons Why (Harlequin Special Edition, No 1122)";"Neesa Hart";"1997";"Silhouette"
"0373291175";"Bandera'S Bride (Historicals, 517)";"Mary McBride";"2000";"Harlequin"
"0449232131";"The Queen's Confession";"Victoria Holt";"1968";"Fawcett Books"
"0449129047";"Walk in Beauty";"Sabina Grant";"1989";"Fawcett Books"
"0671019147";"Republic (Star Trek: My Brother's Keeper, Book 1)";"Michael Jan Friedman";"1998";"Star Trek"
"0373501749";"Baby Wanted (Montana Mavericks #10) (Montana Mavericks)";"Cathie Linz";"1995";"Silhouette"
"0373079184";"Mother Of His Child (Conveniently Wed) (Silhouette Intimate Moments, 918: Conveniently Wed)";"Laurey Bright";"1999";"Silhouette"
"037310667X";"Forgotten Passion (Harlequin Presents)";"Penny Jordan";"1984";"Harlequin"
"0373292155";"The Texan (Harlequin Historical, No. 615)";"Carolyn Davidson";"2002";"Harlequin"
"0373116373";"Corsican Gambit (Harlequin Presents, No 1637)";"Sandra Marton";"1994";"Harlequin"
"0373288050";"Raven And The Swan (Harlequin Historical No, 205)";"Laurie Grant";"1993";"Harlequin"
"0345435419";"Shadow Hunter (Star Wars: Darth Maul)";"Michael Reaves";"2001";"Del Rey Books"
"0373051921";"More Than Promises";"Amanda Lee";"1985";"Silhouette"
"037329106X";"Virgin Spring (Historical, 506)";"Debra Lee Brown";"2000";"Harlequin"
"0373114206";"One Girl At A Time (Harlequin Presents No 420)";"Roberta Leigh";"1991";"Harlequin"
"082173427X";"Wild Wyoming Love";"Dana Ransom";"1991";"Kensington Pub Corp (Mm)"
"0373291205";"Lady Of Lyonsbridge (Historical, 529)";"Ana Seymour";"2000";"Harlequin"
"0373254571";"Stud (Harlequin Temptations, No 357)";"Barbara Delinsky";"1991";"Harlequin"
"0373163541";"Humble Pie (Harlequin American Romance, No 354)";"Pamela Browning";"1990";"Harlequin"
"0373243022";"Lonesome No More (Silhouette Special Edition, 1302)";"Jean Brashear";"2000";"Silhouette"
"0449125394";"Stardust";"Parris A. Bonds";"1983";"Fawcett Books"
"0553219510";"Loveswept #300: Long Time Coming";"Sandra Brown";"1988";"Loveswept"
"0373166575";"Littlest Angel (Gift-Wrapped Grooms) (Harlequin American Romance, No 657)";"Charlotte Maclay";"1996";"Harlequin"
"0373168802";"Family: The Secret Ingredient (Harlequin American Romance, No 880)";"Leandra Logan";"2001";"Harlequin"
"0821745085";"Velvet Thunder (Heartfire Romance)";"Teresa Howard";"1994";"Kensington Pub Corp (Mm)"
"0553219928";"Joker's Wild (Loveswept, No 344)";"Sandra Chastain";"1989";"Loveswept"
"0553440136";"Sophisticated Lady (Loveswept #379)";"Gail Douglas";"1990";"Bantam"
"0373162510";"Honeymoon Hotel";"Barbara Bretton";"1988";"Harlequin"
"0445206608";"The White Raven";"Mary Mayer Holmes";"1988";"Warner Books"
"051506162X";"Lured into Dawn";"Catherine Mills";"1982";"Jove"
"0373074123";"Bad Moon Rising (Silhouette Intimate Moments, No. 412)";"Kathleen Eagle";"1991";"Silhouette"
"0373291213";"Blushing Bride (Historical, 521)";"Judith Stacy";"2000";"Harlequin"
"0373286740";"Mission Of Mercy (Harlequin Historical, No. 74)";"Kathryn Belmont";"1991";"Harlequin"
"0373121369";"Mistress of the Sheikh";"Sandra Marton";"2000";"Harlequin"
"0373099568";"Secret And A Bridal Pledge (This Time, Forever) (Silhouette Special Edition, No 956)";"Andrea Edwards";"1995";"Silhouette"
"0671047574";"Maximum Warp Book Two:  Forever Dark (Star Trek The Next Generation, No 63)";"Dave Galanter";"2001";"Star Trek"
"0373071485";"For Old Times Sake (Silhouette Intimate Moments)";"Kathleen Eagle";"1986";"Silhouette"
"037328926X";"My Lady'S Champion (Harlequin Historical, No 326)";"Claire Delacroix";"1996";"Harlequin"
"0373165676";"Buffalo Mccloud (Harlequin American Romance, No 16567)";"Cassie Miles";"1994";"Harlequin"
"0373118651";"Mirror Bride (The Marriage Maker) (Harlequin Presents, No 1865)";"Robyn Donald";"1997";"Harlequin"
"0373121482";"Baby Claim (His Baby) (Harlequin Presents, 2148)";"Catherine George";"2000";"Harlequin"
"0553220012";"Temperatures Ris#336 (Loveswept)";"Sandra Brown";"1989";"Bantam"
"0553444433";"Imaginary Lover (Loveswept, No 717)";"Sandra Chastain";"1994";"Loveswept"
"0373289537";"Lady Thorn (Harlequin Historicals, No 353)";"Catherine Archer";"1997";"Harlequin"
"0373162227";"Summer'S Witness (Harlequin American Romance 222)";"Saranne Dawson";"1987";"Harlequin"
"0373288212";"Fourth Of Forever (Harlequin Historical No 221)";"Mary McBride";"1994";"Harlequin"
"0373098847";"Dangerous Alliance (Men Of Courage) (Silhouette Special Edition, No 884)";"Lindsay McKenna";"1994";"Silhouette"
"0373710550";"Fleet Hospital (In Uniform) (Harlequin Superromance, No. 1055)";"Anne Marie Duquette";"2002";"Harlequin"
"0373151896";"Mistletoe and Holly/Sweet Sea Spirit (Christmas Magic)";"Janet Dailey";"1991";"Harlequin"
"0373288727";"Lion Of The North (Harlequin Historical, No 272)";"Suzanne Barclay";"1995";"Harlequin"
"0373077351";"Bringing Benjy Home (Silhouette Intimate Moments, No 735)";"Kylie Brant";"1996";"Silhouette"
"0440169836";"Playing With Fire (Candlelight Ecstasy Romance, No 427)";"Donna Kimel Vitek";"1986";"Dell Publishing"
"0373075367";"Beyond All Reason (Wide Open Spaces) (Silhouette Intimate Moments, No 536)";"Judith Duncan";"1993";"Silhouette"
"0440112907";"Cactus Rose";"Margaret Dobson";"1983";"Dell Publishing"
"0440173787";"Restless Wind (Candlelight Ecstasy Romance)";"Margaret Dobson";"1983";"Dell Publishing Company"
"0373032072";"Man Of Truth (Harlequin Romance, No 3207)";"Jessica Marchant";"1992";"Harlequin"
"0373097735";"Tilt At Windmills (Silhouette Special Edition, 773)";"Patt Bucheister";"1992";"Silhouette"
"0380897857";"Splintered Moon (Velvet Glove, No 19)";"Leslie Davis";"1985";"Harper Mass Market Paperbacks (Mm)"
"0373106696";"Trust Summer Madne (Harlequin Presents)";"Carole Mortimer";"1984";"Harlequin"
"037307638X";"Out Of The Dark (Silhouette Intimate Moments, No 638)";"Justine Davis";"1995";"Silhouette"
"0373099738";"Bride Price (That Special Woman) (Silhouette Special Edition, No 973)";"Nancy Gray";"1995";"Silhouette"
"0373707002";"She Caught The Sheriff (Home On The Ranch) (Harlequin Superromance, No 700)";"Anne M. Duquette";"1996";"Harlequin"
"0373111622";"Exclusively Yours (Harlequin Presents, No 1162)";"Fern Michaels";"1989";"Harlequin"
"0373162111";"Second Harmony (Harlequin American Romance, No 211)";"Barbara Bretton";"1987";"Harlequin"
"0373290055";"Gabriel'S Heart (March Madness) (Harlequin Historical, No 405)";"Madeline George";"1998";"Harlequin"
"0373076932";"Guarding Raine (Silhouette Intimate Moments, No 693)";"Kylie Brant";"1996";"Silhouette"
"0553445006";"Bad to the Bone (Loveswept, No 774)";"Debra Dixon";"1996";"Loveswept"
"0553217771";"Twenty-Two Indigo Place";"Sandra Brown";"1986";"Bantam"
"0373243685";"Expectant Bride-To-Be (Here Comes The Brides) (Silhoette Special Edition, No 1368)";"Nikki Benjamin";"2000";"Silhouette"
"0373167520";"Doorstep Daddy (The Holiday Heart) (Harlequin American Romance, 752)";"Linda Cajio";"1998";"Harlequin"
"0373076592";"Hunted (Silhouette Intimate Moments, No 659)";"Jo Leigh";"1995";"Silhouette"
"0373035101";"Mail - Order Mother (Romance , No 3510)";"Kate Denton";"1998";"Harlequin"
"0373254547";"Naughty Thoughts (Harlequin Temptation, No 354)";"Dawn Carroll";"1991";"Harlequin"
"0373288506";"Roarke'S Folly (Harlequin Historical, No 250)";"Claire Delacroix";"1994";"Harlequin"
"0446606448";"Ciara's Song: A Chronicle of the Witch World";"Lyn McConchie";"1998";"Warner Books"
"0373107072";"Illusion Of Love";"Author Unknown";"1984";"Harlequin"
"0445208848";"Savage Tides (Lovestruck)";"Mary Mayer Holmes";"1989";"Warner Books"
"0821749374";"Summer Wind";"Arlene Holliday";"1995";"Zebra Books"
"0821718053";"Crimson Rapture";"Jennifer Horsman";"1986";"Kensington Publishing Corporation"
"0312901925";"Fallen Angels";"Susannah Kells";"1985";"St. Martin's Press"
"0553289993";"The Wizard of Seattle";"KAY HOOPER";"1993";"Bantam"
"0671460412";"A Distant Castle (Silhouette Initmate Moments #7)";"Sue Ellen Cole";"1983";"Silhouette Books"
"0373790538";"Double The Pleasure  (Twins) (Blaze, 49)";"Julie Elizabeth Leto";"2002";"Harlequin"
"0515058181";"Intriguing Lady";"Daphne Woodward";"1982";"Jove"
"0373224915";"Spencer'S Secret (The Spencer Brothers) (Harlequin Intrigue, 491)";"Laura Gordon";"1998";"Harlequin"
"0373709560";"Daughter'S Place (Harlequinn Superromance, No 956)";"C. J. Carmichael";"2000";"Harlequin"
"0373105401";"Not Far Enough (Harlequin Presents)";"Margaret Pargeter";"1982";"Harlequin Books"
"0671495429";"Out of Bounds (Silhouette Desire, 118)";"Angel Milan";"1984";"Silhouette Books New York"
"0061096156";"Society of the Mind: A Cyberthriller";"Eric L. Harry";"1997";"Harper Mass Market Paperbacks (Mm)"
"0441007147";"Wrapt in Crystal";"Sharon Shinn";"2000";"Ace Books"
"0451161122";"War Birds";"R.M. Meluch";"1989";"New Amer Library"
"0671032569";"Vectors : Double Helix #2 (Star Trek: The Next Generation)";"Dean Wesley Smith";"1999";"Star Trek"
"0553569651";"On Wings Of Magic";"Kay Hooper";"1994";"Bantam"
"0821744798";"Wild Texas Blossom (Heartfire Romance)";"Arlene Holliday";"1994";"Kensington Pub Corp (Mm)"
"0345379055";"The King Beyond the Gate (Drenai Tales, Book 2)";"David Gemmell";"1995";"Del Rey Books"
"0061083577";"Chickadee (Harper Monogram)";"Deborah Bedford";"1995";"HarperTorch"
"0373161387";"Edge Of Forever (Harlequin American Romance, No 138)";"Barbara Bretton";"1986";"Harlequin"
"0373109040";"Unbreakable Bond (Harlequin Presents, No 904)";"Robyn Donald";"1986";"Harlequin"
"0451456823";"Invasion America: A Novel";"Christie Golden";"1998";"Roc"
"0345276353";"Master of the Five Magics 1";"Lyndon Hardy";"1980";"Ballantine Books"
"0671042092";"Swordhunt (Star Trek, No 95/Rihannsu Book 3)";"Diane Duane";"2000";"Star Trek"
"0312980353";"Circle of Stars";"Anna Lee Waldo";"2002";"St. Martin's Paperbacks"
"0373117949";"Indiscretions (Bride'S Baby) (Harlequin Presents, No 1794)";"Robyn Donald";"1996";"Harlequin"
"0671473646";"Sweetheart Contract (Silhouette Intimate Moments)";"pat wallace";"1983";"Silhouette Books"
"037370707X";"Texas Standoff  (Home On The Ranch) (Harlequin Superromance, No 707)";"Tom Smith";"1996";"Harlequin"
"0373166877";"Daddy Warlock (Harlequin American Romance , Vol 687)";"Dan Diamond";"1997";"Harlequin"
"0553443976";"Slow Hands (Loveswept)";"Debra Dixon";"1996";"Loveswept"
"0373118716";"Meant To Marry  (The Marriage Maker) (Harlequin Presents, No 1871)";"Robyn Donald";"1997";"Harlequin"
"0743410645";"Restoration (Star Trek New Frontier: Excalibur, Book 3)";"Peter David";"2001";"Star Trek"
"0449140180";"Storm over Sabrehill";"Raymond Giles";"1978";"Fawcett Books"
"0553443119";"Private Lessons (Loveswept, No 582)";"Barbara Boswell";"1992";"Loveswept"
"0821740296";"Lone Star Loving";"Martha Hix";"1993";"Zebra Books"
"0373165544";"Invisible Groom (Harlequin American Romance, No 554)";"Barbara Bretton";"1994";"Harlequin"
"0373093799";"Voyage Of The Nighti (Silhouette Special Edition, No. 379)";"Billie Green";"1987";"Silhouette"
"0373165595";"Secret Agent Dad (Harlequin American Romance, No. 559)";"Leandra Logan";"1994";"Harlequin"
"0553219987";"Simply Irresistible (Loveswept, No 334)";"Barbara Boswell";"1989";"Loveswept"
"0373291183";"Molly'S Hero (Harlequin Historical)";"Susan Amarillas";"2000";"Harlequin"
"038076864X";"Fortune's Mistress (An Avon Romantic Treasure)";"Judith E. French";"1993";"Harper Mass Market Paperbacks (Mm)"
"0373289421";"Beauty And The Beast (Harlequin Historical, No 342)";"Taylor Ryan";"1996";"Harlequin"
"037309437X";"Candles In The Night";"Kathleen Eagle";"1988";"Silhouette"
"0373098987";"Cowboy Daddy (Silhouette Special Edition, No 9898)";"Susan Mallery";"1994";"Silhouette"
"0373165811";"Operation: Husband (Harlequin American Romance, No 581)";"Barbara Bretton";"1995";"Harlequin"
"0786005416";"Cassandra (Pinnacle Historical Romance)";"Marie Ferrarella";"1998";"Pinnacle Books"
"0373088701";"Right Man For Loving (Silhouette Romance 8870)";"Kristina Logan";"1992";"Silhouette"
"0553218298";"Not a Marrying Man (Loveswept, No 194)";"Barbara Boswell";"1987";"Loveswept"
"0553218514";"One Step from Paradise (Loveswept, No 359)";"Barbara Boswell";"1989";"Loveswept"
"0373092741";"Class Act (Silhouette Special Edition No. 274)";"Kathleen Eagle";"1985";"Silhouette"
"0553233688";"Bowdrie";"Louis L'Amour";"1983";"Bantam Books"
"0373166931";"Mission: Motherhood  (Big Apple Babies) (Harlequin American Romance, No 693)";"Jule McBride";"1997";"Harlequin"
"0821726382";"Outlaw Ecstasy (Heartfire Romance)";"Robin Gideon";"1989";"Kensington Books"
"037329056X";"Tender Stranger (Harlequin Historical, No. 456)";"Carolyn Davidson";"1999";"Harlequin"
"0553443763";"Dancing in the Dark (Loveswept, No 609)";"Linda Cajio";"1993";"Loveswept"
"0821760459";"Bright Morning Star (Zebra Splendor Historical Romances)";"Kathryn Fox";"1998";"Zebra Books"
"0931122651";"Unicorn Poem and Flowers and Songs of Sorrow";"E.A. Mares";"1992";"Univ of New Mexico Pr"
"0739439065";"Key of Knowledge (The Key Trilogy, Book 2)";"Nora Roberts";"2003";"Jove Book"
"0345446100";"Edge of Victory II: Rebirth (Star Wars: The New Jedi Order, Book 8)";"Greg Keyes";"2001";"Del Rey Books"
"8817150134";"Penelope Alla Guerra";"Oriana Fallaci";"0";"Rizzoli - RCS Libri"
"8807840014";"Dottor Niu'";"Stefano Benni";"0";"Feltrinelli"
"0688103324";"Don't Know Much About Geography: Everything You Need to Know About the World but Never Learned";"Kenneth C. Davis";"1992";"William Morrow & Company"
"0553213342";"Sense and Sensibility (Bantam Classics)";"Jane Austen";"1995";"Bantam Books"
"0679885501";"Crash";"Jerry Spinelli";"1997";"Yearling Books"
"0385266294";"Why in the World: Adventures in Geography";"George J. Demko";"1992";"Anchor"
"080707103X";"The Passionate Nomad: The Diary of Isabelle Eberhardt (Virago/Beacon Traveler Series)";"Isabelle Eberhardt";"1988";"Houghton Mifflin"
"0061064173";"Wishbone Classic #07 Frankenstein (Wishbone Classics)";"Mary Wollstonecraft Shelley";"1996";"HarperEntertainment"
"0671785699";"BAD DREAMS (FEAR STREET ) : BAD DREAMS";"R.L. Stine";"1994";"Simon Pulse"
"044840172X";"Jurassic Park: The Junior Novelization";"Gail Herman";"1993";"Price Stern Sloan Pub (J)"
"0451143183";"Passport to French";"Charles Berlitz";"1986";"New American Library"
"0877282684";"Book of Thoth";"Aleister Crowley";"1981";"Weiser Books"
"1561840092";"Angel Tech: A Modern Shamans Guide to Reality Selection";"Antero Alli";"1991";"New Falcon Publications"
"0811202925";"Siddhartha";"Hermann Hesse";"1951";"New Directions Publishing Corporation"
"0764153730";"The Water Garden Design Book";"Yvonne Rees";"2001";"Barron's Educational Series"
"0850307147";"Magic: An occult primer";"David Conway";"1988";"Aquarian Press"
"0316488356";"The Fortune Telling Book: Reading Crystal Balls, Tea Leaves, Playing Cards, and Everyday Omens of Love and Luck";"Gillian Kemp";"2000";"Little, Brown"
"0671704613";"MAGIC POWER OF SELF-IMAGE PSYCHOLOGY";"Maxwell Maltz";"1989";"Pocket"
"0563551011";"Changing Rooms";"Linda Barker";"1999";"BBC"
"0743412346";"Sir Apropos of Nothing";"Peter David";"2002";"Pocket"
